anime_id;Name;Score;Genres;English name;Japanese name;sypnopsis;Type;Episodes;Aired;Premiered;Producers;Licensors;Studios;Source;Duration;Rating;Ranked;Popularity;Members;Favorites;Watching;Completed;On-Hold;Dropped
3299;H2O: Footprints in the Sand;706;Harem, Romance, School;H2O:Footprints in the Sand;H2O ~FOOTPRINTS IN THE SAND~;Takuma Hirose is a blind young male high school student, though the cause for his blindness is undetermined. In order to heal his medical condition, he is sent to live in a village with his uncle. There, he meets several girls, three of which stand out more than any of the others. They are Hayami Kohinata, Hinata Kangura, and Otoha. Otoha temporarily heals his blindness and Hirose uses his sight to help others. He finds out that, for some reason, Hayami Kohinata is hated in the village, and he tries his best to help her out. Meanwhile, many sad secrets unfold in the village...;TV;12;Jan 4, 2008 to Mar 21, 2008;2008;NTT Docomo, Studio Jack;Kadokawa Pictures USA;Zexcs;Visual novel;24 min. per ep.;PG-13 - Teens 13 or older;33970;1572;85935;421;2774;55824;2468;3947
3322;Wagaya no Oinari-sama.;722;Adventure, Fantasy, Shounen, Supernatural;Our Home's Fox Deity;我が家のお稲荷さま。;The Mizuchi bloodline has long been hunted by Yokai, or monsters. Toru and Noboru Takagami are descendents of this bloodline, and under their grandmother's discretion, are given a secret weapon to combat these monsters. It is Tenko Kugen, a fox deity who can take the shape of a man or woman at will. The mischievous deity is accompanied by a shrine maiden, Ko, who will both live with the Takagami brothers at their house. Life just got complicated. (Source: NIS America);TV;24;Apr 7, 2008 to Sep 15, 2008;2008;Kadokawa Shoten, NTT Docomo;NIS America, Inc.;Zexcs;Light novel;24 min. per ep.;PG-13 - Teens 13 or older;27040;3018;29122;84;1928;13116;1862;1894
3342;Mnemosyne: Mnemosyne no Musume-tachi;732;Action, Horror, Sci-Fi, Shoujo Ai, Supernatural;Rin:Daughters of Mnemosyne;Mnemosyne－ムネモシュネの娘たち－;Immortality is something many people would wish for. But would it be such a coveted ability if people knew they would be subject to countless attacks because of it? Such is the case for Rin Asougi, an immortal private investigator, because there is no shortage of people who want her dead. Over the centuries, she has met many grisly ends, but each time, she returns to life as if nothing had happened. In 1990, while looking for a lost cat, Rin runs into Kouki Maeno, a man who feels that his memories are wrong. Agreeing to help him, Rin discovers that Kouki is not what he seems, all the while drawing closer to her true enemy. This adversary knows Rin and her kind all too well, and if she dies by his hand, she may stay dead permanently.;TV;6;Feb 4, 2008 to Jul 7, 2008;2008;VAP, Sotsu, Genco, AT-X, Showgate;Funimation;Xebec;Original;45 min. per ep.;R+ - Mild Nudity;22580;971;152677;1036;7851;76491;5438;4638
3349;Kiddy GiRL-AND;688;Action, Comedy, Sci-Fi, Super Power;Kiddy Girl-AND;キディ・ガーランド;Twenty-five years after Éclair and Lumière, (from the flagship Kiddy Grade series), rescued the galaxy from destruction's doorstep, the GTO (Galactic Trade Organization), created after the defeat of the GOTT (Galactic Organization of Trade and Tariffs), act on behalf of universal peace by combating criminal activity. Their special ES division mirrored after the GOTT's ES (Encounter of Shadow-work) force, now includes publicly acknowledged ES member candidates. The series follows two such trainees, Ascoeur and Q-feuille, as they work their way to ES membership. (Source: Wikipedia);TV;24;Oct 16, 2009 to Mar 26, 2010;2009;Kadokawa Shoten, gimik;Funimation;Satelight;Original;25 min. per ep.;PG-13 - Teens 13 or older;41250;4022;16271;43;975;7067;789;1121
3358;Kure-nai;738;Comedy, Drama, Martial Arts;Kurenai;紅;Shinkurou Kurenai is a 16-year-old student by day and a dispute mediator by night. Though kind-hearted and patient, due to his tragic past, he has trained for years to live on. Now, despite his unimposing appearance, he is a strong martial artist, who also possesses a strange power. While taking various jobs for his employer, Benika Juuzawa, one assignment leads Shinkurou to live with Murasaki Kuhouin as her bodyguard. Murasaki is the seven-year-old daughter of a plutocratic family, who escaped her home under peculiar circumstances with Benika's help. Commoner life, in her eyes, seems bizarre. However, by interacting with her neighbors, she grows more accustomed to the daily routine, and rids herself of her snobbish behavior, gradually growing attached to Shinkurou. Though many details of the job remain unclear, Shinkurou still strives to protect the young lady. But to make things more complicated, he also lacks a crucial fact—what is the real threat against Murasaki?;TV;12;Apr 4, 2008 to Jun 20, 2008;2008;Yomiko Advertising, Pony Canyon, Half H.P Studio, Shueisha;Sentai Filmworks;Brain's Base;Light novel;25 min. per ep.;PG-13 - Teens 13 or older;19790;1655;80419;236;3274;42966;2627;2469
3366;Persona: Trinity Soul;658;Action, Sci-Fi, Super Power;Persona:Trinity Soul;ペルソナ 〜トリニティ・ソウル〜;"The stage is Ayanagi City, a city near the Japan Sea. It is a futuristic city that was built to carry out the recovery from the calamity caused by the ""Apathy Syndrome"" ten years previous. High school student Shin Kanzato with his little brother Jun, meet with their elder brother Ryou, who is the chief of the Ayanagi City Police, again after ten years. At that time, a series of strange incidents happen in Ayanagi City such as the crew of a submarine that suddenly disappears while in their submarine, or a spiritless symptom which disturbs the world after ten years, or the case of the inside out corpse where a student took on a cruel appearance. Ryou tracks down the organization behind the string of incidents, and having become involved in the incidents, Shin awakens the ""Persona."" (Source: Wikipedia)";TV;26;Jan 5, 2008 to Jun 28, 2008;2008;Aniplex;NIS America, Inc.;A-1 Pictures;Original;23 min. per ep.;PG-13 - Teens 13 or older;55000;1813;70473;175;4398;25020;4556;5769
3407;Blassreiter;694;Action, Sci-Fi;Blassreiter;ブラスレイター;"odern Germany is plagued by an outbreak of ""Amalgams."" Existing solely to wreak havoc, these cybernetic entities spawn from rotting flesh and can fuse with technology to gain new abilities. With society left in the wake of their destruction, the Xenogenesis Assault Team (XAT) is formed to suppress the threat. Alongside its primary mission to protect against the Amalgam attacks, the organization is also researching the newly discovered ""amalgamated"" humans which possess rational thought and are far deadlier than their non-sentient counterparts. Joseph Jobson is one such amalgamated human who has full control over his powers. Although successful in his line of work as a lone warrior, an unfortunate encounter with the recently-turned-Amalgam Gerd Frentzen makes him a priority target of the XAT. As he eludes the organization and seeks new allies, Joseph is transformed into the Blassreiter—a being heralded as the strongest Amalgam in existence. Now, he must fight back with his newfound powers to uncover the truth behind not only his past, but also the entire Amalgam conflict.";TV;24;Apr 6, 2008 to Sep 28, 2008;2008;Nitroplus, Sotsu Music Publishing;Funimation;Gonzo;Original;23 min. per ep.;R - 17+ (violence & profanity);38330;1752;74743;236;3791;32154;3664;6297
3420;Shigofumi;749;Drama, Fantasy, Psychological, Supernatural, Thriller;Shigofumi:Letters from the Departed;シゴフミ;"There are some things that people are unable to say while they are alive; for these, there are ""shigofumi,"" letters carried from the world of the dead to the world of the living. When a person with strong emotions dies, they are able to create a shigofumi, whether their feelings are of love, longing, or resentment. It is the quiet and mysterious Fumika's job to deliver these messages from the departed. Along with her talking magic staff Kanaka, she ensures that each shigofumi reaches its intended recipient, even if that person does not want to face its contents. Fumika witnesses the tragedies of people, both dead and alive, and sees their deepest secrets revealed. What is unclear, however, are the details of Fumika's past. Who was she before she came to be a carrier of shigofumi?";TV;12;Jan 6, 2008 to Mar 23, 2008;2008;Bandai Visual, Genco, Lantis, Rakuonsha;Sentai Filmworks;J.C.Staff;Original;24 min. per ep.;R - 17+ (violence & profanity);15940;1703;77715;344;3055;34366;2746;2376
3455;To LOVE-Ru;707;Sci-Fi, Harem, Comedy, Romance, Ecchi, School, Shounen;To LOVE Ru;To LOVEる -とらぶる-;Timid 16-year-old Rito Yuuki has yet to profess his love to Haruna Sairenji—a classmate and object of his infatuation since junior high. Sadly, his situation becomes even more challenging when one night, a mysterious, stark-naked girl crash-lands right on top of a bathing Rito. To add to the confusion, Rito discovers that the girl, Lala Satalin Deviluke, is the crown princess of an alien empire and has run away from her home. Despite her position as the heiress to the most dominant power in the entire galaxy, Lala is surprisingly more than willing to marry the decidedly average Rito in order to avoid an unwanted political marriage. To LOVE-Ru depicts Rito's daily struggles with the bizarre chaos that begins upon the arrival of Lala. With an evergrowing legion of swooning beauties that continuously foil his attempted confessions to Haruna, To LOVE-Ru is a romantic comedy full of slapstick humor, sexy girls, and outlandishly lewd moments that defy the laws of physics.;TV;26;Apr 4, 2008 to Sep 26, 2008;2008;Geneon Universal Entertainment, TBS, Shueisha;Sentai Filmworks;Xebec;Manga;24 min. per ep.;R+ - Mild Nudity;33370;245;483606;3840;25729;317483;17579;26986
3457;Vampire Knight;703;Drama, Mystery, Romance, Shoujo, Supernatural, Vampire;Vampire Knight;ヴァンパイア騎士〈ナイト〉;The cheerful Yuuki Cross and the gruff Zero Kiryuu are members of the disciplinary committee at Cross Academy, which houses two very distinct classes: the Day Class and the Night Class. Their job consists of upholding order between the classes when they switch out. While that may not seem like an especially difficult task, the Day Class is unaware of the truth behind the Night Class—their utterly gorgeous students are vampires. Ten years ago, Yuuki was saved from a vampire attack by Kaname Kuran, a Pureblood vampire. Now, Kaname is the leader of the Night Class, and Yuuki's disciplinary committee position allows her to see him again, making her feelings for him grow complicated. Meanwhile, Zero bears a white-hot hatred of all vampires and believes they can never live in harmony with humans. But a secret from Zero's past soon threatens the fragile peace of all at the academy, and things may never be the same again.;TV;13;Apr 8, 2008 to Jul 1, 2008;2008;TV Tokyo, Aniplex, Nihon Ad Systems;VIZ Media;Studio Deen;Manga;24 min. per ep.;PG-13 - Teens 13 or older;35460;254;479832;8751;15986;371018;10917;24743
