anime_id;Name;Score;Genres;English name;Japanese name;sypnopsis;Type;Episodes;Aired;Premiered;Producers;Licensors;Studios;Source;Duration;Rating;Ranked;Popularity;Members;Favorites;Watching;Completed;On-Hold;Dropped
28;Yakitate!! Japan;795;Comedy, Shounen;Yakitate!! Japan;焼きたて!! ジャぱん;hile countries such as France, England, and Germany all have their own internationally celebrated bread, Japan simply does not have one that can match in reputation. Thus after discovering the wonders of breadmaking at a young age, Kazuma Azuma embarks on a quest to create Japan's own unique national bread. And being blessed with unusually warm hands that allow dough to ferment faster, Azuma is able to bring his baking innovations to another level. As he begins working at the prestigious Japanese bakery chain, Pantasia, Azuma encounters other talented bakers and experiences firsthand the competitive world of baking. Along with his newfound friends and rivals, Azuma strives to create new and unparalleled bread that will start a baking revolution.;TV;69;Oct 12, 2004 to Mar 14, 2006;2004;TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa;Nozomi Entertainment;Sunrise;Manga;24 min. per ep.;PG-13 - Teens 13 or older;6090;1666;80183;887;5007;39992;5764;4633
30;Neon Genesis Evangelion;832;Action, Sci-Fi, Dementia, Psychological, Drama, Mecha;Neon Genesis Evangelion;新世紀エヴァンゲリオン;In the year 2015, the world stands on the brink of destruction. Humanity's last hope lies in the hands of Nerv, a special agency under the United Nations, and their Evangelions, giant machines capable of defeating the Angels who herald Earth's ruin. Gendou Ikari, head of the organization, seeks compatible pilots who can synchronize with the Evangelions and realize their true potential. Aiding in this defensive endeavor are talented personnel Misato Katsuragi, Head of Tactical Operations, and Ritsuko Akagi, Chief Scientist. Face to face with his father for the first time in years, 14-year-old Shinji Ikari's average life is irreversibly changed when he is whisked away into the depths of Nerv, and into a harrowing new destiny—he must become the pilot of Evangelion Unit-01 with the fate of mankind on his shoulders. Written by Hideaki Anno, Neon Genesis Evangelion is a heroic tale of a young boy who will become a legend. But as this psychological drama unfolds, ancient secrets beneath the big picture begin to bubble to the surface...;TV;26;Oct 4, 1995 to Mar 27, 1996;1995;TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka;ADV Films, Netflix;Gainax, Tatsunoko Production;Original;24 min. per ep.;PG-13 - Teens 13 or older;2080;54;1160651;71308;66549;815938;35566;20358
33;Kenpuu Denki Berserk;849;Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural;Berserk;剣風伝奇ベルセルク;"Born from the corpse of his mother, a young mercenary known only as Guts, embraces the battlefield as his only means of survival. Day in and day out, putting his life on the line just to make enough to get by, he moves from one bloodshed to the next. After a run-in with the Band of the Hawk, a formidable troop of mercenaries, Guts is recruited by their charismatic leader Griffith, nicknamed the ""White Hawk."" As he quickly climbed the ranks in order to become the head of the offensive faction, Guts proves to be a mighty addition to Griffith's force, taking Midland by storm. However, while the band's quest for recognition continues, Guts slowly realizes that the world is not as black-and-white as he once assumed. Set in the medieval era, Kenpuu Denki Berserk is a dark, gritty tale that follows one man's struggle to find his own path, while supporting another's lust for power, and the unimaginable tragedy that begins to turn the wheels of fate.";TV;25;Oct 8, 1997 to Apr 1, 1998;1997;VAP, Hakusensha, Nippon Television Network;Media Blasters, NYAV Post;OLM;Manga;25 min. per ep.;R+ - Mild Nudity;1080;301;432190;18567;19540;276588;12737;9406
45;Rurouni Kenshin: Meiji Kenkaku Romantan;831;Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen;Rurouni Kenshin;るろうに剣心 -明治剣客浪漫譚-;In the final years of the Bakumatsu era lived a legendary assassin known as Hitokiri Battousai. Feared as a merciless killer, he was unmatched throughout the country, but mysteriously disappeared at the peak of the Japanese Revolution. It has been ten peaceful years since then, but the very mention of Battousai still strikes terror into the hearts of war veterans. Unbeknownst to them, Battousai has abandoned his bloodstained lifestyle in an effort to repent for his sins, now living as Kenshin Himura, a wandering swordsman with a cheerful attitude and a strong will. Vowing never to kill again, Kenshin dedicates himself to protecting the weak. One day, he stumbles across Kaoru Kamiya at her kendo dojo, which is being threatened by an impostor claiming to be Battousai. After receiving help from Kenshin, Kaoru allows him to stay at the dojo, and so the former assassin temporarily ceases his travels. Rurouni Kenshin: Meiji Kenkaku Romantan tells the story of Kenshin as he strives to save those in need of saving. However, as enemies from both past and present begin to emerge, will the reformed killer be able to uphold his new ideals?;TV;94;Jan 10, 1996 to Sep 8, 1998;1996;Aniplex, SME Visual Works, Fuji TV;Media Blasters;Gallop, Studio Deen;Manga;25 min. per ep.;PG-13 - Teens 13 or older;2200;345;386195;11236;29540;216154;30655;18588
48;.hack//Sign;698;Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy;.hack//Sign;.hack//SIGN;"oung wavemaster, only known by the alias of Tsukasa, wakes up in an MMORPG called The World, with slight amnesia. He does not know what he has previously done before he woke up. In The World, the Crimson Knights suspects him of being a hacker, as he was seen accompanying a tweaked character in the form of a cat. Unable to log out from the game, he wanders around looking for answers, avoiding the knights and other players he meets along the way. As Tsukasa explores The World, he stumbles upon a magical item that takes the form of a ""guardian,"" which promises him protection from all harm. Subaru, the leader of the Crimson Knights, along with several other players who became acquainted with Tsukasa, set out to investigate why Tsukasa is unable to log out, and attempt to get to the bottom of the problem before it gets out of hand.";TV;26;Apr 4, 2002 to Sep 26, 2002;2002;Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2;Funimation, Bandai Entertainment;Bee Train;Original;24 min. per ep.;PG-13 - Teens 13 or older;36870;940;158227;1359;6733;91528;8315;11881
50;Aa! Megami-sama! (TV);735;Comedy, Supernatural, Magic, Romance, Seinen;Ah! My Goddess;ああっ女神さまっ;"In a world where humans can have their wish granted via the Goddess Help Hotline, a human, Keiichi Morisato, summons the Goddess Belldandy by accident and jokes that she should stay with him forever. Unfortunately for him, his ""wish"" is granted. Suddenly, Keiichi is now living with this gorgeous woman all alone, causing him to be kicked out of the all-male dormitory he was staying in. But soon, after they find lodging in a Buddhist temple, Keiichi and Belldandy's relationship begins to blossom. Although they are both awkward and rather uncomfortable with one another at first, what awaits these two strangers could turn out to be an unexpected romance.";TV;24;Jan 7, 2005 to Jul 8, 2005;2005;Bandai Visual, TBS, Imagine;Media Blasters, NYAV Post;AIC;Manga;24 min. per ep.;PG-13 - Teens 13 or older;21160;1083;135747;1124;5841;85884;6517;7971
52;Kidou Tenshi Angelic Layer;726;Sci-Fi, Comedy, Sports, Drama, Shounen;Battle Doll Angelic Layer;機動天使エンジェリックレイヤー;12-year-old Misaki Suzuhara has just gotten involved in Angelic Layer, a battling game using electronic dolls called angels. Even as a newbie, Misaki shows advanced skills as she meets new friends and enters Angelic Layer tournaments to fight the greatest Angelic Layer champions of the nation.;TV;26;Apr 1, 2001 to Sep 23, 2001;2001;TV Tokyo Music;ADV Films, Sentai Filmworks;Bones;Manga;24 min. per ep.;PG-13 - Teens 13 or older;25290;2232;51022;290;1653;32978;2615;2852
53;Ai Yori Aoshi;714;Harem, Slice of Life, Comedy, Drama, Romance;Ai Yori Aoshi;藍より青し;Kaoru Hanabishi, a college student who lives alone, met a beautiful but bewildered girl dressed in a kimono at a train station. He volunteered to guide her way to the address she was looking for, which happened to be in his neighborhood, but turned out to be an empty lot. Not knowing what to do next, Kaoru invited the devastated girl to his apartment and asked for any additional clues to her destination. She supplied him with a photo of two children whom Kauru immediately identified as himself and Aoi Sakuraba, his childhood friend. It turned out that the girl in front of him is Aoi Sakuraba herself, his betrothed fiancee who came all the way to Tokyo to marry him. Her revelation was not only surprising but also reminded the deepest part of Kaoru's memory for why he left the Hanabishi family in the first place.;TV;24;Apr 11, 2002 to Sep 26, 2002;2002;Movic, Fuji TV, Pioneer LDC, Cosmic Ray;Funimation, Geneon Entertainment USA;J.C.Staff;Manga;23 min. per ep.;PG-13 - Teens 13 or older;30120;1465;94793;458;4111;60075;4160;5814
57;Beck;831;Comedy, Drama, Music, Shounen, Slice of Life;Beck:Mongolian Chop Squad;ベック;"Fourteen-year-old Yukio ""Koyuki"" Tanaka is a dispirited young boy with no goals in life. However, this all changes when Koyuki saves a strange-looking dog named Beck from being harassed by a group of local kids. The dog's owner, 16-year-old Ryuusuke ""Ray"" Minami, is an emerging guitarist and the former member of a popular rock band. After Koyuki meets Ray again in a diner, the older boy leads him to his former band's meeting place and dazzles Koyuki with his amazing guitar skills. Slowly becoming interested in the glamour of western rock culture, Koyuki decides to start playing the guitar while helping Ray achieve his dream of leading the ultimate rock band. Together with Ray's younger sister Maho and a few other members, the two boys launch their career into the world of rock by forming a band called BECK. Beck follows the group's struggles and successes as they spread their fame across Japan.";TV;26;Oct 7, 2004 to Mar 31, 2005;2004;Marvelous, Starchild Records, Asatsu DK, Kodansha;Funimation;Madhouse;Manga;25 min. per ep.;R - 17+ (violence & profanity);2210;570;255668;7038;10580;133432;10190;8488
58;Blue Gender;705;Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama;Blue Gender;BLUE GENDER;Blue Gender takes place in the not too distant future in a world where things have gone terribly wrong for humanity. Humans have been replaced at the top of the food chain by the Blue, a race of bug-like aliens that have colonized Earth and pushed humans aside. A space station, Second Earth, has been constructed as a safe haven for humans, with the hope of one day reclaiming the Earth once more. Yuji Kaido was cryogenically frozen, having been suffering from a disease known as B-Cells. Once awakened, he joins a team of soldiers that have come to Earth to extract him. Unfortunately, nothing goes according to plan as they make their way back to Second Earth. Yuji will have to deal with the horrors of fighting a bloody war as he and the fighters from Second Earth look to survive. Will they be able to win back Earth without losing their humanity?;TV;26;Oct 8, 1999 to Mar 31, 2000;1999;Youmex, Toshiba EMI;Funimation;AIC;Original;23 min. per ep.;R+ - Mild Nudity;34550;1886;65360;389;2738;31583;2534;3195
